rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
115,14865,Marquise Goodwin,CHI,WR,14,0,0,0,-1,0,20,313,1,0,0,0,0,4.1,57.2
116,18030,Chris Moore,HOU,WR,12,0,0,0,0,0,21,227,2,0,0,0,0,4.6,55.7
117,19043,Isaiah McKenzie,BUF,WR,15,0,0,0,47,1,20,178,1,0,0,0,0,3.5,52.5
118,15215,Tavon Austin,JAX,WR,13,0,0,0,21,0,24,213,1,0,0,0,0,4.0,51.4
119,20816,Lil'Jordan Humphrey,NO,WR,10,0,0,0,0,0,13,249,2,0,0,0,0,5.0,49.9
120,21729,Quintez Cephus,DET,WR,5,0,0,0,0,0,15,204,2,0,0,0,0,9.9,49.4
121,19779,Brandon Zylstra,CAR,WR,13,0,0,0,0,0,18,250,1,0,0,0,0,3.8,49.0
122,20529,Cam Sims,WAS,WR,14,0,0,0,7,0,15,211,2,0,0,0,0,3.5,48.8
123,16308,Albert Wilson,MIA,WR,14,0,0,0,17,0,25,213,0,0,0,0,0,3.4,48.0
124,18058,Tajae Sharpe,ATL,WR,15,0,0,0,0,0,25,230,0,0,0,0,0,3.2,48.0
125,21349,Ashton Dulin,IND,WR,17,0,0,0,32,0,13,173,2,0,0,0,1,2.7,45.5
126,20684,Malik Turner,DAL,WR,14,0,0,0,0,0,12,149,3,0,0,0,0,3.2,44.9
127,18896,Cyril Grayson Jr.,TB,WR,5,0,0,0,14,0,10,212,2,0,0,0,0,8.9,44.6
128,18881,John Ross,NYG,WR,10,0,0,0,16,0,11,224,1,0,0,0,0,4.1,41.0
129,19098,Isaiah Ford,MIA,WR,13,0,0,0,0,0,12,161,2,0,0,0,0,3.1,40.1
130,22213,Kendall Hinton,DEN,WR,16,1,0,0,0,0,15,175,1,0,0,0,0,2.4,38.5
131,21723,James Proche II,BAL,WR,14,0,0,0,0,0,16,202,0,0,0,0,0,2.6,36.2
132,18883,JuJu Smith-Schuster,PIT,WR,5,0,0,0,9,1,15,129,0,0,0,0,0,7.0,34.8
133,19705,Greg Ward,PHI,WR,17,2,0,0,0,0,7,95,3,0,0,0,0,2.0,34.6
134,19816,DJ Chark,JAX,WR,4,0,0,0,0,0,7,154,2,0,0,0,0,8.6,34.4
135,19080,Noah Brown,DAL,WR,13,0,0,0,0,0,16,184,0,0,0,0,0,2.6,34.4
136,18103,Jakeem Grant Sr.,CHI,WR,15,0,0,0,33,0,11,132,2,0,0,0,0,2.2,33.5
137,16787,Breshad Perriman,TB,WR,6,0,0,0,-3,0,11,167,1,0,0,0,0,5.6,33.4
138,22588,Anthony Schwartz,CLE,WR,14,0,0,0,39,0,10,135,1,0,0,0,0,2.4,33.4
139,22685,Terrace Marshall Jr.,CAR,WR,13,0,0,0,0,0,17,138,0,0,0,0,0,2.5,32.8
140,13878,Mohamed Sanu,SF,WR,8,0,0,0,0,0,15,177,0,0,0,0,0,4.1,32.7
141,21005,Parris Campbell,IND,WR,6,0,0,0,0,0,10,162,1,0,0,0,0,5.4,32.2
142,20679,KhaDarel Hodge,DET,WR,16,0,0,0,0,0,13,157,0,0,0,0,0,1.9,30.7
143,16855,Ty Montgomery II,NO,WR,14,0,0,0,44,0,16,95,0,0,0,0,0,2.1,29.9
144,22595,Ihmir Smith-Marsette,MIN,WR,8,0,0,0,0,0,5,116,2,0,0,0,0,3.6,28.6
145,20792,N'Keal Harry,NE,WR,12,0,0,0,0,0,12,184,0,0,0,0,0,2.4,28.4
146,22569,Dee Eskridge,SEA,WR,10,0,0,0,59,0,10,64,1,0,0,0,0,2.8,28.3
147,22686,Dyami Brown,WAS,WR,15,0,0,0,-4,0,12,165,0,0,0,0,0,1.9,28.1
148,19854,Dante Pettis,NYG,WR,3,16,0,0,0,0,10,87,1,0,0,0,0,8.4,25.3
149,18209,Marcus Johnson,TEN,WR,7,0,0,0,-2,0,9,160,0,0,0,0,0,3.5,24.8
150,22590,Ben Skowronek,LAR,WR,14,0,0,0,0,0,11,133,0,0,0,0,0,1.7,24.3
151,20081,Trent Sherfield Sr.,SF,WR,17,0,0,0,0,0,9,87,1,0,0,0,2,1.4,23.7
152,21383,Jody Fortson Jr.,KC,WR,6,0,0,0,0,0,5,47,2,0,0,0,0,3.6,21.7
153,21730,Collin Johnson,NYG,WR,12,0,0,0,0,0,11,105,0,0,0,0,0,1.8,21.5
154,21741,Denzel Mims,NYJ,WR,11,0,0,0,0,0,8,133,0,0,0,0,0,1.9,21.3
155,21368,Trinity Benson,DET,WR,8,0,0,0,0,0,10,103,0,0,0,0,0,2.5,20.3
156,20398,Equanimeous St. Brown,GB,WR,13,0,0,0,14,0,9,98,0,0,0,0,0,1.6,20.2
157,22417,Kristian Wilkerson,NE,WR,3,0,0,0,0,0,4,42,2,0,0,0,0,6.7,20.2
158,21078,Jeff Smith,NYJ,WR,12,0,0,0,-1,0,8,113,0,0,0,0,0,1.6,19.2
159,21138,Scotty Miller,TB,WR,9,0,0,0,43,1,5,38,0,0,0,0,1,2.1,19.1
160,15196,Kenny Stills,NO,WR,13,0,0,0,1,0,6,68,1,0,0,0,0,1.5,18.9
161,21556,Tom Kennedy,DET,WR,12,75,1,0,0,0,6,54,0,0,0,0,0,1.5,18.4
162,16790,Phillip Dorsett,HOU,WR,6,0,0,0,0,0,7,110,0,0,0,0,0,3.0,18.0
163,18992,Dede Westbrook,MIN,WR,15,0,0,0,0,0,10,68,0,0,0,0,0,1.1,16.8
164,22609,Shi Smith,CAR,WR,6,0,0,0,-3,0,6,104,0,0,0,0,0,2.7,16.1
165,22591,Dez Fitzpatrick,TEN,WR,4,0,0,0,0,0,5,49,1,0,0,0,0,4.0,15.9
166,22572,Dax Milne,WAS,WR,13,0,0,0,1,0,9,83,0,0,0,0,0,1.2,15.4
167,19864,Anthony Miller,PIT,WR,3,0,0,0,0,0,6,25,1,0,0,0,0,4.8,14.5
168,14587,Josh Gordon,KC,WR,12,0,0,0,0,0,5,32,1,0,0,0,0,1.2,14.2
169,14828,Chris Hogan,NO,WR,5,0,0,0,0,0,4,41,1,0,0,0,0,2.8,14.1
170,20988,Preston Williams,MIA,WR,8,0,0,0,7,0,6,71,0,0,0,0,0,1.7,13.8
171,20057,Auden Tate,CIN,WR,7,0,0,0,0,0,3,39,1,0,0,0,0,1.8,12.9
172,20793,Penny Hart,SEA,WR,17,0,0,0,0,0,7,59,0,0,0,0,0,0.8,12.9
173,21759,KJ Hamler,DEN,WR,3,0,0,0,0,0,5,74,0,0,0,0,0,4.1,12.4
174,21115,Juwann Winfree,GB,WR,7,0,0,0,0,0,8,58,0,0,0,0,0,1.7,11.8
175,22596,Jaelon Darden,TB,WR,9,0,0,0,11,0,6,43,0,0,0,0,0,1.3,11.4
176,20372,Cameron Batson,TEN,WR,4,0,0,0,15,0,2,15,1,0,0,0,0,2.8,11.0
177,22244,Ja'Marcus Bradley,CLE,WR,5,0,0,0,0,0,4,64,0,0,0,0,0,2.1,10.4
178,18445,Mike Thomas,CIN,WR,12,0,0,0,0,0,5,52,0,0,0,0,0,0.8,10.2
179,21959,Dezmon Patmon,IND,WR,8,0,0,0,0,0,2,21,1,0,0,0,0,1.3,10.1
180,18928,Curtis Samuel,WAS,WR,5,0,0,0,11,0,6,27,0,0,0,0,0,2.0,9.8
181,19200,C.J. Board,NYG,WR,6,0,0,0,6,0,4,51,0,0,0,0,0,1.6,9.7
182,22575,Amari Rodgers,GB,WR,16,0,0,0,11,0,4,45,0,0,0,0,0,0.6,9.6
183,17916,William Fuller V,MIA,WR,2,0,0,0,0,0,4,26,0,0,0,0,0,4.3,8.6
