rank,id,player,team,pos,gp,snaps,snaps_per_gp,snap_pct,rush_per_snap,rush_share,tgt_per_snap,tgt_share,touch_per_snap,util_per_snap,fpts_ppr,fpts_ppr_per_snap
37,21694,Henry Ruggs III,LV,WR,7,334,47.7,.69,0.9,.01,10.8,.06,8.1,11.7,84.5,25.3
38,14871,Robert Woods,LAR,WR,9,543,60.3,.85,1.5,.02,12.7,.11,9.8,14.2,137.2,25.3
39,22626,Rondale Moore,ARI,WR,14,432,30.9,.37,4.2,.04,15.0,.11,16.7,19.2,109.1,25.3
40,13227,Randall Cobb,GB,WR,12,371,30.9,.47,0.3,.00,10.5,.07,7.8,10.8,93.6,25.2
41,16020,Jarvis Landry,CLE,WR,12,533,44.4,.65,1.1,.01,16.3,.19,10.9,17.4,133.0,25.0
42,21045,Marquise Brown,BAL,WR,16,924,57.8,.74,0.1,.00,15.7,.25,10.0,15.8,226.3,24.5
43,21717,Jauan Jennings,SF,WR,16,337,21.1,.31,0.0,.00,11.3,.08,7.1,11.3,82.2,24.4
44,21744,Michael Pittman Jr.,IND,WR,17,980,57.6,.88,0.5,.01,13.2,.26,9.5,13.7,238.6,24.3
45,16765,Amari Cooper,DAL,WR,15,835,55.7,.68,0.0,.00,12.3,.16,8.1,12.3,202.5,24.3
46,19844,DJ Moore,CAR,WR,17,992,58.4,.86,0.8,.02,16.4,.29,10.2,17.2,237.5,23.9
47,19802,Calvin Ridley,ATL,WR,5,299,59.8,.63,0.0,.00,17.4,.09,10.4,17.4,71.1,23.8
48,21729,Quintez Cephus,DET,WR,5,212,42.4,.60,0.0,.00,10.8,.04,7.1,10.8,49.4,23.3
49,19815,Christian Kirk,ARI,WR,17,893,52.5,.76,0.1,.00,11.5,.17,8.8,11.8,207.6,23.2
50,20816,Lil'Jordan Humphrey,NO,WR,10,216,21.6,.20,0.0,.00,8.3,.04,6.0,8.3,49.9,23.1
51,14141,Cole Beasley,BUF,WR,16,691,43.2,.58,0.0,.00,16.2,.18,12.0,16.4,159.3,23.1
52,17986,Tyler Boyd,CIN,WR,16,808,50.5,.73,0.2,.00,11.6,.17,8.7,12.0,183.8,22.8
53,20788,Mecole Hardman Jr.,KC,WR,17,623,36.6,.52,1.3,.02,13.3,.13,10.8,14.6,140.9,22.6
54,17961,Sterling Shepard,NYG,WR,7,344,49.1,.38,0.3,.00,15.4,.09,10.8,15.7,77.7,22.6
