rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
100,21349,Ashton Dulin,IND,WR,13,173,2,21.5,27.9,12.6,265,15.6,20,21,2,2,6.4,4.2,2.2
101,22686,Dyami Brown,WAS,WR,12,165,0,37.0,34.5,15.2,379,25.3,32,25,3,2,7.0,5.5,1.1
102,21005,Parris Campbell,IND,WR,10,162,1,64.9,52.1,16.0,320,53.3,32,20,1,0,7.1,10.9,1.6
103,20679,KhaDarel Hodge,DET,WR,13,157,0,25.5,23.4,10.7,288,18.0,22,27,5,1,5.7,5.4,1.1
104,19816,DJ Chark,JAX,WR,7,154,2,73.9,69.9,15.6,343,85.8,49,22,1,1,5.7,16.2,1.6
105,22685,Terrace Marshall Jr.,CAR,WR,17,138,0,55.1,48.2,6.4,191,14.7,11,30,3,1,6.8,6.9,1.1
106,22588,Anthony Schwartz,CLE,WR,10,135,1,34.1,31.6,17.2,396,28.3,40,23,2,1,6.3,5.7,1.4
107,22590,Ben Skowronek,LAR,WR,11,133,0,18.0,18.4,8.4,168,12.0,15,20,2,1,7.5,3.9,1.2
108,21741,Denzel Mims,NYJ,WR,8,133,0,40.6,40.6,12.8,295,26.8,37,23,2,2,6.5,6.0,0.9
109,18103,Jakeem Grant Sr.,CHI,WR,11,132,2,12.4,14.1,4.9,83,5.5,8,17,2,0,6.6,3.5,2.3
110,18883,JuJu Smith-Schuster,PIT,WR,15,129,0,71.8,69.0,6.6,184,36.8,12,28,0,0,6.2,14.5,1.2
111,22595,Ihmir Smith-Marsette,MIN,WR,5,116,2,22.4,16.7,22.0,132,16.5,26,6,1,1,9.2,2.4,4.8
112,21078,Jeff Smith,NYJ,WR,8,113,0,29.1,29.1,11.2,191,15.9,24,17,0,0,6.8,4.1,1.1
113,16790,Phillip Dorsett,HOU,WR,7,110,0,26.8,21.5,13.6,191,31.8,27,14,1,0,7.0,7.0,1.3
