rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
203,19836,Tremaine Edmunds,CHI,LB,15,0,0,0,0,0,0,0,0,0,4,1,1,8.4,126.5
204,20864,Julian Love,SEA,S,17,0,0,0,0,0,0,0,0,0,4,2,1,7.4,126.0
205,16191,Chris Boswell,PIT,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.4,126.0
206,24350,Aidan O'Connell,LV,QB,11,2218,12,7,11,1,0,0,0,0,0,0,0,11.4,125.8
207,11694,Nick Folk,TEN,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.4,125.0
208,18478,Wil Lutz,DEN,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.4,125.0
209,23155,Jahan Dotson,WAS,WR,17,0,0,0,0,0,49,518,4,0,0,0,0,7.3,124.8
210,20776,Carl Granderson,NO,DE,17,0,0,0,0,0,0,0,0,9,0,1,1,7.3,124.5
211,18990,Jonnu Smith,ATL,TE,17,0,0,0,0,0,50,582,3,0,0,0,0,7.3,124.2
212,549,Matt Prater,ARI,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.3,124.0
213,23346,Dax Hill,CIN,S,17,0,0,0,0,0,0,0,0,2,2,0,0,7.2,123.2
214,19988,Tyler Conklin,NYJ,TE,17,0,0,0,0,0,61,621,0,0,0,0,0,7.2,123.1
215,19287,Kenny Moore II,IND,CB,16,0,0,0,0,0,0,0,0,2,3,0,0,7.6,121.8
216,22746,Jonathon Cooper,DEN,OLB,17,0,0,0,0,0,0,0,0,9,1,1,2,7.1,121.5
217,21879,Jonathan Greenard,HOU,DE,15,0,0,0,0,0,0,0,0,13,0,1,0,8.1,121.5
218,18993,Samaje Perine,DEN,RB,17,0,0,0,238,1,50,455,0,0,0,0,0,7.1,121.3
219,24371,Anders Carlson,GB,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.1,121.0
220,20915,Germaine Pratt,CIN,LB,17,0,0,0,0,0,0,0,0,2,2,2,0,7.1,120.7
221,19862,Harold Landry III,TEN,OLB,17,0,0,0,0,0,0,0,0,11,0,0,0,7.1,120.2
222,19310,Nicholas Morrow,PHI,LB,15,0,0,0,0,0,0,0,0,3,0,1,2,8.0,120.0
223,21714,K.J. Osborn,MIN,WR,16,0,0,0,0,0,48,540,3,0,0,0,0,7.5,120.0
224,22495,Zach Wilson,NYJ,QB,12,2271,8,7,211,0,0,0,0,0,0,0,0,10.0,119.9
225,17975,Hunter Henry,NE,TE,14,0,0,0,0,0,42,419,6,0,0,0,0,8.6,119.9
226,23539,Nate Landman,ATL,ILB,16,0,0,0,0,0,0,0,0,2,1,3,0,7.5,119.8
227,23253,Dontayvion Wicks,GB,WR,15,14,0,0,1,0,39,581,4,0,0,0,0,8.0,119.8
228,23541,Micah McFadden,NYG,ILB,16,0,0,0,0,0,0,0,0,1,1,0,4,7.5,119.7
229,23444,Quay Walker,GB,LB,14,0,0,0,0,0,0,0,0,3,1,0,0,8.5,119.2
230,21926,Kyle Dugger,NE,DB,17,0,0,0,0,0,0,0,0,2,2,1,0,7.0,119.0
231,20983,Christian Wilkins,MIA,DT,17,0,0,0,0,0,0,0,0,9,0,1,2,7.0,118.6
232,18944,Kareem Hunt,CLE,RB,15,0,0,0,411,9,15,84,0,0,0,0,0,7.9,118.5
233,21985,Kenneth Murray,LAC,LB,15,0,0,0,0,0,0,0,0,3,1,0,0,7.9,118.5
234,23599,Reed Blankenship,PHI,S,15,0,0,0,0,0,0,0,0,0,3,0,1,7.9,118.5
235,20971,Andrew Van Ginkel,MIA,LB,17,0,0,0,0,0,0,0,0,6,1,0,1,7.0,118.2
236,21117,E.J. Speed,IND,LB,16,0,0,0,0,0,0,0,0,1,0,3,0,7.4,117.9
237,19944,Ja'Whaun Bentley,NE,LB,16,0,0,0,0,0,0,0,0,5,0,1,0,7.4,117.8
238,21802,AJ Dillon,GB,RB,15,0,0,0,613,2,22,223,0,0,0,0,0,7.8,117.6
239,22085,Derrick Brown,CAR,DT,17,0,0,0,0,0,0,0,0,2,1,0,0,6.9,117.2
